phase,reuse,replicate,variant,curve_index,x,seed,samples,estimate,exact,error,empirical_stderr
1,10,0,point_selected_uniform,5,1.0,8016085926590994940,10000,-0.28447605325596176,-0.28394020618429017,-0.0005358470716715913,0.00047929782459983606
1,10,0,point_selected_uniform,5,2.0,8016085926590994941,10000,-0.12717187362864513,-0.1273050380753717,0.00013316444672656358,0.00026187601386329953
1,10,0,point_selected_uniform,6,-2.0,2454987355823183771,10000,-0.8897977910034864,-0.8884494598171035,-0.0013483311863828895,0.0012051702372974907
1,10,0,point_selected_uniform,6,-1.0,2454987355823183772,10000,-0.7465252776799175,-0.7455466141264027,-0.0009786635535148358,0.0007136221442861497
1,10,0,point_selected_uniform,6,0.0,2454987355823183773,10000,-0.5193237308252683,-0.5187412158785353,-0.0005825149467330037,0.0005694016337121004
1,10,0,point_selected_uniform,6,1.0,2454987355823183774,10000,-0.2848249020181839,-0.28394020618429017,-0.0008846958338937227,0.0004806762391702926
1,10,0,point_selected_uniform,6,2.0,2454987355823183775,10000,-0.127206087910566,-0.1273050380753717,9.895016480568342e-05,0.0002740270760579003
1,10,0,point_selected_uniform,7,-2.0,2336861414808425130,10000,-0.8878658722040218,-0.8884494598171035,0.0005835876130817486,0.001290859065783407
1,10,0,point_selected_uniform,7,-1.0,2336861414808425131,10000,-0.7467671558567698,-0.7455466141264027,-0.0012205417303671195,0.0007360627790376868
1,10,0,point_selected_uniform,7,0.0,2336861414808425132,10000,-0.5182215703321437,-0.5187412158785353,0.0005196455463916116,0.000563081751548363
1,10,0,point_selected_uniform,7,1.0,2336861414808425133,10000,-0.2840112398817743,-0.28394020618429017,-7.103369748412414e-05,0.00047882909742880364
1,10,0,point_selected_uniform,7,2.0,2336861414808425134,10000,-0.12715516093566476,-0.1273050380753717,0.00014987713970693317,0.0002669531969006126
1,10,0,point_selected_uniform,8,-2.0,15454506127717116164,10000,-0.8900586328215417,-0.8884494598171035,-0.0016091730044381913,0.0012141095215985635
1,10,0,point_selected_uniform,8,-1.0,15454506127717116165,10000,-0.7451155105299208,-0.7455466141264027,0.00043110359648190766,0.0009510425457903222
1,10,0,point_selected_uniform,8,0.0,15454506127717116166,10000,-0.5184227246641085,-0.5187412158785353,0.00031849121442673045,0.0005663336916276463
1,10,0,point_selected_uniform,8,1.0,15454506127717116167,10000,-0.28401122608632734,-0.28394020618429017,-7.101990203717268e-05,0.0004879154796215894
1,10,0,point_selected_uniform,8,2.0,15454506127717116168,10000,-0.12676118960318658,-0.1273050380753717,0.00054384847218511,0.00026445303336469924
1,10,0,point_selected_uniform,9,-2.0,4296462762109365425,10000,-0.8873011949346601,-0.8884494598171035,0.0011482648824434616,0.0012691257505940369
1,10,0,point_selected_uniform,9,-1.0,4296462762109365426,10000,-0.7446061057942501,-0.7455466141264027,0.0009405083321525343,0.0007741887148397754
1,10,0,point_selected_uniform,9,0.0,4296462762109365427,10000,-0.5172570418326011,-0.5187412158785353,0.0014841740459341501,0.0005640133290704983
1,10,0,point_selected_uniform,9,1.0,4296462762109365428,10000,-0.28321559594968443,-0.28394020618429017,0.0007246102346057381,0.000493225270548949
1,10,0,point_selected_uniform,9,2.0,4296462762109365429,10000,-0.12744097749185315,-0.1273050380753717,-0.00013593941648146202,0.0002720778282771616
1,10,0,default_uniform,0,-2.0,540490396878550305,10000,-0.8883872464225279,-0.8884494598171035,6.221339457568309e-05,0.0015946948845089557
1,10,0,default_uniform,0,-1.0,540490396878550306,10000,-0.7462254022960103,-0.7455466141264027,-0.000678788169607647,0.0010212429488438985
1,10,0,default_uniform,0,0.0,540490396878550307,10000,-0.519032640674869,-0.5187412158785353,-0.00029142479633370577,0.0006462887563561536
1,10,0,default_uniform,0,1.0,540490396878550308,10000,-0.2837368774503407,-0.28394020618429017,0.00020332873394945938,0.000462779091563447
1,10,0,default_uniform,0,2.0,540490396878550309,10000,-0.12723280385884758,-0.1273050380753717,7.223421652410855e-05,0.00024994347314262916
1,10,0,default_uniform,1,-2.0,982176266046810256,10000,-0.8885456644790258,-0.8884494598171035,-9.620466192228339e-05,0.0015990201142702934
1,10,0,default_uniform,1,-1.0,982176266046810257,10000,-0.7473118848699134,-0.7455466141264027,-0.0017652707435107384,0.0010015200988646308
1,10,0,default_uniform,1,0.0,982176266046810258,10000,-0.5198880190696694,-0.5187412158785353,-0.001146803191134138,0.0006552210721693049
1,10,0,default_uniform,1,1.0,982176266046810259,10000,-0.28478601046452046,-0.28394020618429017,-0.000845804280230289,0.0004634375021527753
